date,amount,direction,payment_method,counterparty,reference,balance
2026-08-01,120.00,DEBIT,UPI,SWIGGY,UPI/622801234501,45230.50
2026-08-01,199.00,DEBIT,UPI,NETFLIX,UPI/622801234502,45031.50
2026-08-01,89.00,DEBIT,UPI,UBER INDIA,UPI/622801234503,44942.50
2026-08-02,245.00,DEBIT,UPI,BLINKIT,UPI/622801234504,44697.50
2026-08-02,599.00,DEBIT,UPI,AMAZON PAY,UPI/622801234505,44098.50
2026-08-03,450.00,DEBIT,UPI,ZOMATO,UPI/622801234506,43648.50
2026-08-03,500.00,CREDIT,UPI,DEMO PERSON A,UPI/622801234507,44148.50
2026-08-03,299.00,DEBIT,UPI,JIO,UPI/622801234508,43849.50
2026-08-04,180.00,DEBIT,UPI,SWIGGY,UPI/622801234509,43669.50
2026-08-04,234.00,DEBIT,UPI,OLA,UPI/622801234510,43435.50
2026-08-05,890.00,DEBIT,UPI,BIGBASKET,UPI/622801234511,42545.50
2026-08-05,1500.00,DEBIT,UPI,HPCL,UPI/622801234512,41045.50
2026-08-05,350.00,DEBIT,UPI,APOLLO PHARMACY,UPI/622801234513,40695.50
2026-08-06,200.00,DEBIT,UPI,DEMO PERSON B,UPI/622801234514,40495.50
2026-08-06,45.00,DEBIT,UPI,RAPIDO,UPI/622801234515,40450.50
2026-08-07,175.00,DEBIT,UPI,ZEPTO,UPI/622801234516,40275.50
2026-08-07,899.00,DEBIT,UPI,FLIPKART,UPI/622801234517,39376.50
2026-08-07,119.00,DEBIT,UPI,SPOTIFY,UPI/622801234518,39257.50
2026-08-08,240.00,DEBIT,UPI,SWIGGY,UPI/622801234519,39017.50
2026-08-08,1250.00,DEBIT,UPI,IRCTC,UPI/622801234520,37767.50
2026-08-09,320.00,DEBIT,UPI,ZOMATO,UPI/622801234521,37447.50
2026-08-09,1499.00,DEBIT,UPI,AMAZON PAY,UPI/622801234522,35948.50
2026-08-10,1000.00,DEBIT,UPI,DEMO PERSON C,UPI/622801234523,34948.50
2026-08-10,89.00,DEBIT,UPI,BLINKIT,UPI/622801234524,34859.50
2026-08-10,799.00,DEBIT,UPI,MYNTRA,UPI/622801234525,34060.50
2026-08-11,349.00,DEBIT,UPI,AIRTEL,UPI/622801234526,33711.50
2026-08-11,78.00,DEBIT,UPI,UBER INDIA,UPI/622801234527,33633.50
2026-08-12,156.00,DEBIT,UPI,SWIGGY,UPI/622801234528,33477.50
2026-08-12,2000.00,DEBIT,UPI,DEMO PERSON A,UPI/622801234529,31477.50
2026-08-12,199.00,DEBIT,UPI,YOUTUBE PREMIUM,UPI/622801234530,31278.50
2026-08-13,445.00,DEBIT,UPI,ZOMATO,UPI/622801234531,30833.50
2026-08-13,567.00,DEBIT,UPI,BIGBASKET,UPI/622801234532,30266.50
2026-08-14,234.00,DEBIT,UPI,BLINKIT,UPI/622801234533,30032.50
2026-08-14,2000.00,DEBIT,UPI,HPCL,UPI/622801234534,28032.50
2026-08-14,89.00,DEBIT,UPI,APOLLO PHARMACY,UPI/622801234535,27943.50
2026-08-15,250.00,DEBIT,UPI,AMAZON PAY,UPI/622801234536,27693.50
2026-08-15,145.00,DEBIT,UPI,OLA,UPI/622801234537,27548.50
2026-08-16,1500.00,DEBIT,NACH,Indian Clearing Cor Kotak Bank,NACHDR160826000001,26048.50
2026-08-16,189.00,DEBIT,UPI,SWIGGY,UPI/622801234538,25859.50
2026-08-16,234.00,DEBIT,UPI,ZOMATO,UPI/622801234539,25625.50
2026-08-17,45000.00,CREDIT,NEFT,ACME EMPLOYER PVT LTD,NEFT/N226178,70625.50
2026-08-17,456.00,DEBIT,UPI,ZEPTO,UPI/622801234540,70169.50
2026-08-18,189.00,DEBIT,UPI,BLINKIT,UPI/622801234541,69980.50
2026-08-18,145.00,DEBIT,UPI,UBER INDIA,UPI/622801234542,69835.50
2026-08-18,599.00,DEBIT,UPI,FLIPKART,UPI/622801234543,69236.50
2026-08-19,300.00,DEBIT,UPI,DEMO PERSON B,UPI/622801234544,68936.50
2026-08-19,890.00,DEBIT,UPI,IRCTC,UPI/622801234545,68046.50
2026-08-20,199.00,DEBIT,UPI,NETFLIX,UPI/622801234546,67847.50
2026-08-20,349.00,DEBIT,UPI,AMAZON PAY,UPI/622801234547,67498.50
2026-08-21,55.00,DEBIT,UPI,RAPIDO,UPI/622801234548,67443.50
2026-08-21,267.00,DEBIT,UPI,SWIGGY,UPI/622801234549,67176.50
2026-08-22,189.00,DEBIT,UPI,ZOMATO,UPI/622801234550,66987.50
2026-08-22,234.00,DEBIT,UPI,APOLLO PHARMACY,UPI/622801234551,66753.50
2026-08-23,1500.00,DEBIT,NACH,Indian Clearing Cor Kotak Bank,NACHDR230826000067,65253.50
2026-08-23,249.00,DEBIT,UPI,AIRTEL,UPI/622801234552,65004.50
2026-08-24,145.00,DEBIT,UPI,BLINKIT,UPI/622801234553,64859.50
2026-08-24,1200.00,DEBIT,UPI,HPCL,UPI/622801234554,63659.50
2026-08-24,500.00,CREDIT,UPI,DEMO PERSON C,UPI/622801234555,64159.50
2026-08-25,356.00,DEBIT,UPI,ZOMATO,UPI/622801234556,63803.50
2026-08-25,234.00,DEBIT,UPI,OLA,UPI/622801234557,63569.50
